Name,Description,Review,Price
"POCO C50 (Royal Blue, 32 GB)",,4.3,"₹8,999"
"POCO C50 (Royal Blue, 32 GB)",,4.3,"₹8,999"
"POCO C51 (Power Black, 64 GB)",,,"₹8,499"
"POCO C51 (Power Black, 64 GB)",,,"₹8,499"
"POCO C50 (Country Green, 32 GB)",,4.3,"₹8,999"
"POCO C50 (Country Green, 32 GB)",,4.3,"₹8,999"
"POCO C50 (Country Green, 32 GB)",,4.1,"₹9,999"
"POCO C50 (Country Green, 32 GB)",,4.1,"₹9,999"
"POCO C55 (Power Black, 128 GB)",,4.2,"₹9,999"
"POCO C55 (Power Black, 128 GB)",,4.2,"₹9,999"
"POCO C55 (Cool Blue, 64 GB)",,4.3,"₹8,499"
"POCO C55 (Cool Blue, 64 GB)",,4.3,"₹8,499"
"POCO C50 (Royal Blue, 32 GB)",,4.1,"₹9,999"
"POCO C50 (Royal Blue, 32 GB)",,4.1,"₹9,999"
"POCO C55 (Forest Green, 128 GB)",,4.2,"₹9,999"
"POCO C55 (Forest Green, 128 GB)",,4.2,"₹9,999"
"POCO C55 (Power Black, 64 GB)",,4.3,"₹8,499"
"POCO C55 (Power Black, 64 GB)",,4.3,"₹8,499"
"POCO C55 (Forest Green, 64 GB)",,4.3,"₹8,499"
"POCO C55 (Forest Green, 64 GB)",,4.3,"₹8,499"
"POCO M4 5G (Power Black, 64 GB)",,4.2,"₹12,999"
"POCO M4 5G (Power Black, 64 GB)",,4.2,"₹12,999"
"POCO C55 (Cool Blue, 128 GB)",,4.2,"₹9,999"
"POCO C55 (Cool Blue, 128 GB)",,4.2,"₹9,999"
"POCO M4 Pro 5G (Cool Blue, 128 GB)",,4.2,"₹15,999"
"POCO M4 Pro 5G (Cool Blue, 128 GB)",,4.2,"₹15,999"
"POCO M4 5G (Cool Blue, 128 GB)",,4.2,"₹14,999"
"POCO M4 5G (Cool Blue, 128 GB)",,4.2,"₹14,999"
"POCO M4 Pro (Cool Blue, 128 GB)",,4.3,"₹13,999"
"POCO M4 Pro (Cool Blue, 128 GB)",,4.3,"₹13,999"
"POCO M4 5G (Cool Blue, 64 GB)",,4.2,"₹12,999"
"POCO M4 5G (Cool Blue, 64 GB)",,4.2,"₹12,999"
"POCO M4 5G (Power Black, 128 GB)",,4.2,"₹14,999"
"POCO M4 5G (Power Black, 128 GB)",,4.2,"₹14,999"
"POCO M4 Pro (Cool Blue, 64 GB)",,4.3,"₹12,999"
"POCO M4 Pro (Cool Blue, 64 GB)",,4.3,"₹12,999"
"POCO M4 Pro (Yellow, 128 GB)",,4.3,"₹13,999"
"POCO M4 Pro (Yellow, 128 GB)",,4.3,"₹13,999"
"POCO M5 (Power Black, 128 GB)",,4.2,"₹11,999"
"POCO M5 (Power Black, 128 GB)",,4.2,"₹11,999"
"POCO M4 Pro 5G (Yellow, 128 GB)",,4.2,"₹15,999"
"POCO M4 Pro 5G (Yellow, 128 GB)",,4.2,"₹15,999"
"POCO M4 5G (Yellow, 64 GB)",,4.2,"₹12,999"
"POCO M4 5G (Yellow, 64 GB)",,4.2,"₹12,999"
"POCO X5 Pro 5G (Horizon Blue, 128 GB)",,4.4,"₹22,999"
"POCO X5 Pro 5G (Horizon Blue, 128 GB)",,4.4,"₹22,999"
"POCO M4 Pro (Power Black, 128 GB)",,4.3,"₹14,999"
"POCO M4 Pro (Power Black, 128 GB)",,4.3,"₹14,999"
